AI_ID,AI名称,モジュールID,モジュール名称,計算内容,ツール,入力ファイル,出力ファイル,連成先モジュール,推定工数(人時)
IS-AI-02,星間資源ハックAI,IS-AI-02-M3,資源豊富度分類,機械学習による分光データ分類,Python,IS-AI-02-M1_spectra.txt,IS-AI-02-M3_classification.csv,IS-AI-02-M5,18
IS-AI-02,星間資源ハックAI,IS-AI-02-M4,採掘コスト評価,エネルギー等価評価モデル,Python,IS-AI-02-M2_energy.txt,IS-AI-02-M4_cost.csv,IS-AI-02-M5,14
IS-AI-02,星間資源ハックAI,IS-AI-02-M5,採掘ロボット協調制御,マルチエージェント強化学習,Python,IS-AI-02-M3_classification.csv;IS-AI-02-M4_cost.csv,IS-AI-02-M5_mining.png,IS-AI-02-M6,25
IS-AI-02,星間資源ハックAI,IS-AI-02-M6,資源価値最適化,採取物のエネルギー価値最大化,Python,IS-AI-02-M5_mining.png,IS-AI-02-M6_value.png,,10
IS-AI-03,長期閉鎖生態系AI,IS-AI-03-M1,質量・エネルギー保存式,生態系連立方程式の記号導出,Maxima,,IS-AI-03-M1_equations.txt,IS-AI-03-M3,5
IS-AI-03,長期閉鎖生態系AI,IS-AI-03-M2,廃棄物処理ネットワーク,化学反応ネットワークの平衡計算,Maxima,,IS-AI-03-M2_waste.txt,IS-AI-03-M4,6
IS-AI-03,長期閉鎖生態系AI,IS-AI-03-M3,生態系時系列シミュ,微分方程式系による物質循環シミュ,Python,IS-AI-03-M1_equations.txt,IS-AI-03-M3_ecosystem.csv,IS-AI-03-M5,22
IS-AI-03,長期閉鎖生態系AI,IS-AI-03-M4,廃棄物処理最適化,反応器ネットワークの動的最適化,Python,IS-AI-03-M2_waste.txt,IS-AI-03-M4_processing.csv,IS-AI-03-M5,18
IS-AI-03,長期閉鎖生態系AI,IS-AI-03-M5,代謝適応制御,乗員代謝データに基づくPID制御,Python,IS-AI-03-M3_ecosystem.csv;IS-AI-03-M4_processing.csv,IS-AI-03-M5_control.png,IS-AI-03-M6,20
IS-AI-03,長期閉鎖生態系AI,IS-AI-03-M6,劣化予兆検知,システム劣化の異常検知アルゴリズム,Python,IS-AI-03-M5_control.png,IS-AI-03-M6_anomaly.csv,IS-AI-03-M7,15
IS-AI-03,長期閉鎖生態系AI,IS-AI-03-M7,予備モジュール起動,故障時のバックアップ起動ロジック,Python,IS-AI-03-M6_anomaly.csv,IS-AI-03-M7_backup.png,,10
IS-AI-04,遅延耐性自律意思決定AI,IS-AI-04-M1,合意プロトコル理論,Byzantine故障耐性プロトコルの収束証明,Maxima,,IS-AI-04-M1_consensus.txt,IS-AI-04-M3,7
IS-AI-04,遅延耐性自律意思決定AI,IS-AI-04-M2,ベイズ意思決定限界,不確実性下の理論限界導出,Maxima,,IS-AI-04-M2_bayes.txt,IS-AI-04-M4,5
IS-AI-04,遅延耐性自律意思決定AI,IS-AI-04-M3,マルチエージェントシミュ,Ray/RLLibによる分散シミュレーション,Python,IS-AI-04-M1_consensus.txt,IS-AI-04-M3_simulation.csv,IS-AI-04-M5,25
IS-AI-04,遅延耐性自律意思決定AI,IS-AI-04-M4,異常事態強化学習,DQN/PPOによる対応策学習,Python,IS-AI-04-M2_bayes.txt,IS-AI-04-M4_rl.pkl,IS-AI-04-M5,30
IS-AI-04,遅延耐性自律意思決定AI,IS-AI-04-M5,統合意思決定,遅延下でのリスク評価・行動選択,Python,IS-AI-04-M3_simulation.csv;IS-AI-04-M4_rl.pkl,IS-AI-04-M5_decision.png,IS-AI-04-M6,20
IS-AI-04,遅延耐性自律意思決定AI,IS-AI-04-M6,暫定運用管理,地球指令到着までの自律運用,Python,IS-AI-04-M5_decision.png,IS-AI-04-M6_operations.png,,12
WH-AI-01,時空計量安定化AI,WH-AI-01-M1,曲率テンソル計算,Morris-Thorne計量の曲率テンソル記号計算,Maxima,,WH-AI-01-M1_curvature.txt,WH-AI-01-M3,8
WH-AI-01,時空計量安定化AI,WH-AI-01-M2,Ricciスカラー導出,計量からRicciスカラーの導出,Maxima,,WH-AI-01-M2_ricci.txt,WH-AI-01-M3,6
WH-AI-01,時空計量安定化AI,WH-AI-01-M3,負のエネルギー密度分布,エネルギー密度分布関数の理論導出,Maxima,WH-AI-01-M1_curvature.txt;WH-AI-01-M2_ricci.txt,WH-AI-01-M3_energy.txt,WH-AI-01-M4,7
WH-AI-01,時空計量安定化AI,WH-AI-01-M4,時空計量数値積分,Runge-Kutta法による計量数値解,Python,WH-AI-01-M3_energy.txt,WH-AI-01-M4_metric.nc,WH-AI-01-M5,30
WH-AI-01,時空計量安定化AI,WH-AI-
